sba_physical_declaration_number,sba_eidl_declaration_number,fema_disaster_number,sba_disaster_number,damaged_property_city_name,damaged_property_zip_code,damaged_property_county/parish_name,damaged_property_state_code,total_verified_loss,verified_loss_real_estate,verified_loss_content,total_approved_loan_amount,approved_amount_real_estate,approved_amount_content,year,incident_type
10640,10641,1662,IN-00008,CHANDLER,47610,WARRICK,IN,12015,12015,0,11200,11200,0,2007,Severe Storm
10640,10641,1662,IN-00008,CROWN POINT,46307,LAKE,IN,139387,113777,25610,90300,79200,11100,2007,Severe Storm
10640,10641,1662,IN-00008,DYER,46311,LAKE,IN,30631,23831,6800,27300,20500,6800,2007,Severe Storm
10640,10641,1662,IN-00008,EAST CHICAGO,46312,LAKE,IN,683258,462473,220785,352400,222900,129500,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47710,VANDERBURGH,IN,13196,9946,3250,13000,9700,3300,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47711,VANDERBURGH,IN,89092,68952,20140,79600,59500,20100,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47712,VANDERBURGH,IN,121040,101890,19150,84500,65300,19200,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47713,VANDERBURGH,IN,114315,77430,36885,31100,20700,10400,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47714,VANDERBURGH,IN,1471398,1099138,372260,1039100,737600,301500,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47715,VANDERBURGH,IN,164961,108275,56686,119000,73800,45200,2007,Severe Storm
10640,10641,1662,IN-00008,EVANSVILLE,47720,VANDERBURGH,IN,20105,15690,4415,17300,12900,4400,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46402,LAKE,IN,99008,82573,16435,79800,69100,10700,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46403,LAKE,IN,148406,125156,23250,137100,113800,23300,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46404,LAKE,IN,229334,174365,54969,89400,69700,19700,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46406,LAKE,IN,578398,361273,217125,374100,228000,146100,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46407,LAKE,IN,105592,67617,37975,60700,42200,18500,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46408,LAKE,IN,158901,102246,56655,58900,38400,20500,2007,Severe Storm
10640,10641,1662,IN-00008,GARY,46409,LAKE,IN,21944,12394,9550,8900,4800,4100,2007,Severe Storm
10640,10641,1662,IN-00008,GRIFFITH,46319,LAKE,IN,1153043,732807,420236,510000,268600,241400,2007,Severe Storm
10640,10641,1662,IN-00008,HAMMOND,46320,LAKE,IN,85803,63183,22620,16500,6500,10000,2007,Severe Storm
10640,10641,1662,IN-00008,HAMMOND,46323,LAKE,IN,982672,657712,324960,558900,353200,205700,2007,Severe Storm
10640,10641,1662,IN-00008,HAMMOND,46324,LAKE,IN,72755,57775,14980,57900,45800,12100,2007,Severe Storm
10640,10641,1662,IN-00008,HAMMOND,46327,LAKE,IN,11612,7512,4100,10000,5900,4100,2007,Severe Storm
10640,10641,1662,IN-00008,HIGHLAND,46322,LAKE,IN,9785130,6654529,3130601,5472300,3363300,2080600,2007,Severe Storm
10640,10641,1662,IN-00008,HOBART,46342,LAKE,IN,5799,5799,0,0,0,0,2007,Severe Storm
10640,10641,1662,IN-00008,MERRILLVILLE,46410,LAKE,IN,279506,220601,58905,209700,167800,41900,2007,Severe Storm
10640,10641,1662,IN-00008,MUNSTER,46321,LAKE,IN,79268,64543,14725,70800,56100,14700,2007,Severe Storm
10640,10641,1662,IN-00008,NEWBURGH,47630,WARRICK,IN,118420,94285,24135,85100,64500,20600,2007,Severe Storm
10640,10641,1662,IN-00008,SCHERERVILLE,46375,LAKE,IN,105581,74671,30910,73800,42900,30900,2007,Severe Storm
10640,10641,1662,IN-00008,WHITING,46394,LAKE,IN,17176,17176,0,17200,17200,0,2007,Severe Storm
10678,10679,1664,HI-00005,CAPTAIN COOK,96704,HAWAII,HI,660633,641188,19445,404800,391400,13400,2007,Earthquake
10678,10679,1664,HI-00005,HAKALAU,96710,HAWAII,HI,18202,17527,675,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,HALAULA,96755,HAWAII,HI,16234,12224,4010,8700,4700,4000,2007,Earthquake
10678,10679,1664,HI-00005,HAWI,96719,HAWAII,HI,1056406,983910,72496,689700,634800,54900,2007,Earthquake
10678,10679,1664,HI-00005,HAWI,96755,HAWAII,HI,5286,4111,1175,3400,2200,1200,2007,Earthquake
10678,10679,1664,HI-00005,HILO,96720,HAWAII,HI,327894,321694,6200,269200,263000,6200,2007,Earthquake
10678,10679,1664,HI-00005,HOLUALOA,96725,HAWAII,HI,1531831,1469061,62770,1429800,1367500,62300,2007,Earthquake
10678,10679,1664,HI-00005,HONAUNAU,96726,HAWAII,HI,66785,62510,4275,35400,31800,3600,2007,Earthquake
10678,10679,1664,HI-00005,HONOKAA,96727,HAWAII,HI,1164391,1096201,68190,1005100,939500,65600,2007,Earthquake
10678,10679,1664,HI-00005,KAILUA KONA,96740,HAWAII,HI,7822914,7319609,503305,5967100,5555500,411600,2007,Earthquake
10678,10679,1664,HI-00005,KAILUA-KONA,96740,HAWAII,HI,394838,339778,55060,379600,324500,55100,2007,Earthquake
10678,10679,1664,HI-00005,KAMUELA,96743,HAWAII,HI,6610349,6106994,503355,5177000,4765800,411200,2007,Earthquake
10678,10679,1664,HI-00005,KAPA AU,96755,HAWAII,HI,20487,19687,800,15300,14500,800,2007,Earthquake
10678,10679,1664,HI-00005,KAPAAU,96755,HAWAII,HI,2439985,2202440,237545,1286000,1116100,169900,2007,Earthquake
10678,10679,1664,HI-00005,KAWAIHAE,96743,HAWAII,HI,160479,133879,26600,149900,123300,26600,2007,Earthquake
10678,10679,1664,HI-00005,KEAAU,96749,HAWAII,HI,21769,20169,1600,7900,7900,0,2007,Earthquake
10678,10679,1664,HI-00005,KEALAKEKUA,96750,HAWAII,HI,870144,837784,32360,807100,777900,29200,2007,Earthquake
10678,10679,1664,HI-00005,KOHALA,96755,HAWAII,HI,25946,24621,1325,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,KURTISTOWN,96760,HAWAII,HI,6338,5838,500,6400,5900,500,2007,Earthquake
10678,10679,1664,HI-00005,LAUPAHOEHOE,96764,HAWAII,HI,38476,38076,400,38500,38100,400,2007,Earthquake
10678,10679,1664,HI-00005,MAKAPALA,967,HAWAII,HI,216097,185617,30480,208100,177600,30500,2007,Earthquake
10678,10679,1664,HI-00005,MOUNT VIEW,96721,HAWAII,HI,7742,7742,0,5400,5400,0,2007,Earthquake
10678,10679,1664,HI-00005,MOUNTAIN VIEW,96771,HAWAII,HI,7270,7270,0,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,NAALEHU,96772,HAWAII,HI,28139,26964,1175,22500,21300,1200,2007,Earthquake
10678,10679,1664,HI-00005,OCEAN VIEW,96737,HAWAII,HI,56427,50347,6080,44300,38200,6100,2007,Earthquake
10678,10679,1664,HI-00005,OOKALA,96774,HAWAII,HI,19249,17999,1250,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,PAAUILO,96727,HAWAII,HI,89189,88139,1050,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,PAAUILO,96743,HAWAII,HI,51144,49044,2100,48800,46700,2100,2007,Earthquake
10678,10679,1664,HI-00005,PAAUILO,96776,HAWAII,HI,561528,526848,34680,514300,403300,27800,2007,Earthquake
10678,10679,1664,HI-00005,PAHOA,96778,HAWAII,HI,56023,54623,1400,8800,8800,0,2007,Earthquake
10678,10679,1664,HI-00005,PAPAALOA,96780,HAWAII,HI,13767,13267,500,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,PAPAIKOU,96781,HAWAII,HI,77917,76117,1800,71800,70000,1800,2007,Earthquake
10678,10679,1664,HI-00005,PEPEEKEO,96783,HAWAII,HI,27307,25507,1800,25300,23500,1800,2007,Earthquake
10678,10679,1664,HI-00005,VOLCANO,96785,HAWAII,HI,26198,23648,2550,0,0,0,2007,Earthquake
10678,10679,1664,HI-00005,WAIKOLOA,96738,HAWAII,HI,2067037,1917824,149213,1681200,1552700,128500,2007,Earthquake
10682,10683,1665,NY-00036,AKRON,14001,ERIE,NY,52015,48365,3650,11900,10900,1000,2007,Severe Storm
10682,10683,1665,NY-00036,AKRON,14001,GENESEE,NY,17290,12860,4430,13600,9200,4400,2007,Severe Storm
10682,10683,1665,NY-00036,ALBION,14411,ORLEANS,NY,28945,28945,0,19600,19600,0,2007,Severe Storm
10682,10683,1665,NY-00036,ALDEN,14004,ERIE,NY,243452,193177,50275,126000,95600,30400,2007,Severe Storm
10682,10683,1665,NY-00036,ALEXANDER,14005,GENESEE,NY,1624,1624,0,0,0,0,2007,Severe Storm
10682,10683,1665,NY-00036,AMHERST,14221,ERIE,NY,99462,82762,16700,16100,14600,1500,2007,Severe Storm
10682,10683,1665,NY-00036,AMHERST,14226,ERIE,NY,926517,685474,241043,660500,473000,187500,2007,Severe Storm
10682,10683,1665,NY-00036,AMHERST,14228,ERIE,NY,143737,96187,47550,75600,57800,17800,2007,Severe Storm
10682,10683,1665,NY-00036,ANGOLA,14006,ERIE,NY,2288,1188,1100,2300,1200,1100,2007,Severe Storm
10682,10683,1665,NY-00036,BATAVIA,14020,GENESEE,NY,52955,43330,9625,41200,38700,2500,2007,Severe Storm
10682,10683,1665,NY-00036,BLASDELL,14219,ERIE,NY,167982,110352,57630,114600,71300,43300,2007,Severe Storm
10682,10683,1665,NY-00036,BOWMANSVILLE,14026,ERIE,NY,75098,54973,20125,64700,44500,20200,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14204,ERIE,NY,41088,34663,6425,25700,21300,4400,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14206,ERIE,NY,119765,109205,10560,59500,54000,5500,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14207,ERIE,NY,63169,41534,21635,14800,13400,1400,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14208,ERIE,NY,109419,100744,8675,37300,36200,1100,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14209,ERIE,NY,128948,103258,25690,63300,45700,17600,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14210,ERIE,NY,104513,76373,28140,55400,41700,13700,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14211,ERIE,NY,126796,96091,30705,76000,52300,23700,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14212,ERIE,NY,321442,285747,35695,55100,37400,17700,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14213,ERIE,NY,91378,75533,15845,65300,53800,11500,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14214,ERIE,NY,215215,197165,18050,64300,56700,7600,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14215,ERIE,NY,727879,597045,130834,318600,258000,60600,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14216,ERIE,NY,323466,278216,45250,226900,193700,33200,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14217,ERIE,NY,93923,74223,19700,54200,38600,15600,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14218,ERIE,NY,42637,17262,25375,8700,4700,4000,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14219,ERIE,NY,5774,1848,3926,1800,0,1800,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14220,ERIE,NY,247249,195741,51508,163300,124900,38400,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14221,ERIE,NY,393755,285427,108328,187100,113800,73300,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14222,ERIE,NY,38396,33131,5265,26500,22400,4100,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14223,ERIE,NY,346082,259612,86470,200700,138600,62100,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14224,ERIE,NY,120554,80824,39730,54900,24100,30800,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14225,ERIE,NY,77445,58305,19140,48300,37800,10500,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14226,ERIE,NY,303179,256439,46740,174100,144100,30000,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14227,ERIE,NY,49531,35821,13710,31100,17700,13400,2007,Severe Storm
10682,10683,1665,NY-00036,BUFFALO,14228,ERIE,NY,133409,97099,36310,44200,42700,1500,2007,Severe Storm
10682,10683,1665,NY-00036,CHEEKTOWAGA,14206,ERIE,NY,17891,12201,5690,0,0,0,2007,Severe Storm
10682,10683,1665,NY-00036,CHEEKTOWAGA,14215,ERIE,NY,127133,71318,55815,61000,35600,25400,2007,Severe Storm
10682,10683,1665,NY-00036,CHEEKTOWAGA,14225,ERIE,NY,466441,355676,110765,282900,203100,79800,2007,Severe Storm
10682,10683,1665,NY-00036,CHEEKTOWAGA,14227,ERIE,NY,473054,310443,162611,330600,184100,146500,2007,Severe Storm
10682,10683,1665,NY-00036,CLARENCE,14031,ERIE,NY,570148,451135,119013,347600,259100,88500,2007,Severe Storm
10682,10683,1665,NY-00036,CLARENCE CENTER,14032,ERIE,NY,182890,148015,34875,121300,98200,23100,2007,Severe Storm
10682,10683,1665,NY-00036,CORFU,14036,GENESEE,NY,44021,33221,10800,11600,8300,3300,2007,Severe Storm
10682,10683,1665,NY-00036,DEPEW,14043,ERIE,NY,356798,270743,86055,234400,162300,72100,2007,Severe Storm
10682,10683,1665,NY-00036,DERBY,14047,ERIE,NY,85537,52062,33475,49600,25700,23900,2007,Severe Storm
10682,10683,1665,NY-00036,EAST AMHERST,14051,ERIE,NY,371111,303286,67825,217700,173000,44700,2007,Severe Storm
10682,10683,1665,NY-00036,EGGERTSVILLE,14226,ERIE,NY,30585,20290,10295,9300,8600,700,2007,Severe Storm
10682,10683,1665,NY-00036,ELMA,14059,ERIE,NY,126971,111716,15255,79000,67200,11800,2007,Severe Storm
10682,10683,1665,NY-00036,GETZVILLE,14068,ERIE,NY,186187,122812,63375,122300,72900,49400,2007,Severe Storm
10682,10683,1665,NY-00036,GRAND ISLAND,14072,ERIE,NY,78251,52651,25600,47500,29900,17600,2007,Severe Storm
10682,10683,1665,NY-00036,HAMBURG,14075,ERIE,NY,214386,162531,51855,136600,102800,33800,2007,Severe Storm
10682,10683,1665,NY-00036,HOLLEY,14470,ORLEANS,NY,17227,14127,3100,16500,13400,3100,2007,Severe Storm
10682,10683,1665,NY-00036,KENMORE,14217,ERIE,NY,227933,157077,70856,146400,101300,45100,2007,Severe Storm
10682,10683,1665,NY-00036,KENMORE,14223,ERIE,NY,28453,12423,16030,0,0,0,2007,Severe Storm
10682,10683,1665,NY-00036,LACKAWANNA,14218,ERIE,NY,171009,125347,45662,118400,88600,29800,2007,Severe Storm
10682,10683,1665,NY-00036,LAKE VIEW,14085,ERIE,NY,18415,9465,8950,10000,2700,7300,2007,Severe Storm
10682,10683,1665,NY-00036,LANCASTER,14086,ERIE,NY,422940,312870,110070,333800,229600,104200,2007,Severe Storm
10682,10683,1665,NY-00036,LOCKPORT,14094,NIAGARA,NY,117817,82562,35255,25100,19000,6100,2007,Severe Storm
